,State,MSA,Month,Monthly_Goals_Adds,YTD_Goals_Adds
298,CT,New Haven CT,2021-11-30,0.0,0.0
299,CT,New Haven CT,2021-12-31,0.0,0.0
300,CT,Stamford CT,2021-01-31,0.0,0.0
301,CT,Stamford CT,2021-02-28,0.0,0.0
302,CT,Stamford CT,2021-03-31,0.0,0.0
303,CT,Stamford CT,2021-04-30,0.0,0.0
304,CT,Stamford CT,2021-05-31,0.0,0.0
305,CT,Stamford CT,2021-06-30,0.0,0.0
306,CT,Stamford CT,2021-07-31,0.0,0.0
307,CT,Stamford CT,2021-08-31,0.0,0.0
308,CT,Stamford CT,2021-09-30,0.0,0.0
309,CT,Stamford CT,2021-10-31,0.0,0.0
310,CT,Stamford CT,2021-11-30,0.0,0.0
311,CT,Stamford CT,2021-12-31,0.0,0.0
312,DC,Washington DC,2021-01-31,0.0,0.0
313,DC,Washington DC,2021-02-28,0.0,0.0
314,DC,Washington DC,2021-03-31,0.0,0.0
315,DC,Washington DC,2021-04-30,0.0,0.0
316,DC,Washington DC,2021-05-31,0.0,0.0
317,DC,Washington DC,2021-06-30,0.0,0.0
318,DC,Washington DC,2021-07-31,0.0,0.0
319,DC,Washington DC,2021-08-31,0.0,0.0
320,DC,Washington DC,2021-09-30,0.0,0.0
321,DC,Washington DC,2021-10-31,0.0,0.0
322,DC,Washington DC,2021-11-30,0.0,0.0
323,DC,Washington DC,2021-12-31,0.0,0.0
324,DE,Delaware,2021-01-31,0.0,0.0
325,DE,Delaware,2021-02-28,0.0,0.0
326,DE,Delaware,2021-03-31,0.0,0.0
327,DE,Delaware,2021-04-30,0.0,0.0
328,DE,Delaware,2021-05-31,0.0,0.0
329,DE,Delaware,2021-06-30,0.0,0.0
330,DE,Delaware,2021-07-31,0.0,0.0
331,DE,Delaware,2021-08-31,0.0,0.0
332,DE,Delaware,2021-09-30,0.0,0.0
333,DE,Delaware,2021-10-31,0.0,0.0
334,DE,Delaware,2021-11-30,0.0,0.0
335,DE,Delaware,2021-12-31,0.0,0.0
336,FL,Fort Myers-Naples FL,2021-01-31,0.0,0.0
337,FL,Fort Myers-Naples FL,2021-02-28,0.0,0.0
338,FL,Fort Myers-Naples FL,2021-03-31,0.0,0.0
339,FL,Fort Myers-Naples FL,2021-04-30,0.0,0.0
340,FL,Fort Myers-Naples FL,2021-05-31,0.0,0.0
341,FL,Fort Myers-Naples FL,2021-06-30,0.0,0.0
342,FL,Fort Myers-Naples FL,2021-07-31,0.0,0.0
